"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Frank Ntilikina","PG","NYK","2017-18","Est","Back","No",19,21.9,0.318,0.385,0.721,0.5,1.8,3.2,0.8,0.2,1.7,2.3,3501120
"Fred VanVleet","PG","TOR","2017-18","Est","Back","No",23,20,0.414,0.437,0.832,0.3,2.1,3.2,0.9,0.3,1,1.7,1312611
"Furkan Korkmaz","SG","PHI","2017-18","Est","Back","No",20,5.7,0.294,0.273,0.5,0.1,0.6,0.3,0.1,0.1,0.1,0.9,1465920
"Garrett Temple","SG","SAC","2017-18","West","Back","No",31,24.8,0.392,0.442,0.769,0.3,2,1.9,0.9,0.4,1.2,2.1,8000000
"Gary Harris","SG","DEN","2017-18","West","Back","No",23,34.4,0.396,0.553,0.827,0.6,2.1,2.9,1.8,0.2,1.8,1.8,2550055
"George Hill","PG","CLE","2017-18","West","Back","No",31,27,0.415,0.49,0.786,0.6,2.1,2.8,0.9,0.4,1.3,1.9,20000000
"Gerald Green","SG","HOU","2017-18","West","Back","No",32,22.7,0.369,0.504,0.85,0.4,2.9,0.6,0.6,0.4,0.8,2.1,1381403
"Giannis Antetokounmpo","PF","MIL","2017-18","Est","Front","Yes",23,36.7,0.307,0.554,0.76,2.1,8,4.8,1.5,1.4,3,3.1,22471911
"Glenn Robinson","SF","IND","2017-18","Est","Back","No",24,14.7,0.412,0.431,0.818,0.5,1.1,0.7,0.6,0,0.2,0.6,1524305
"Goran Dragic","PG","MIA","2017-18","Est","Back","Yes",31,31.7,0.37,0.481,0.801,0.7,3.4,4.8,0.8,0.2,2.2,2.4,17000450
"Gorgui Dieng","C","MIN","2017-18","West","Front","No",28,16.9,0.311,0.511,0.775,1.3,3.2,0.9,0.6,0.5,0.7,1.9,14112360
"Guerschon Yabusele","PF","BOS","2017-18","Est","Front","No",22,7.1,0.324,0.583,0.682,0.5,1.1,0.5,0.1,0.2,0.4,0.7,2247480
"Harrison Barnes","PF","DAL","2017-18","West","Front","No",25,34.2,0.357,0.478,0.827,1,5.1,2,0.6,0.2,1.5,1.2,23112004
"Hassan Whiteside","C","MIA","2017-18","Est","Front","No",28,25.3,1,0.538,0.703,3.2,8.2,1,0.7,1.7,1.7,2.4,23775506
"Henry Ellenson","PF","DET","2017-18","Est","Front","No",21,8.7,0.333,0.384,0.862,0.3,1.9,0.5,0.1,0,0.5,0.6,1780800
"Ian Clark","SG","NOP","2017-18","West","Back","No",26,19.7,0.318,0.533,0.763,0.1,1.6,1.5,0.4,0.1,0.8,1.6,1577230
"Ian Mahinmi","C","WAS","2017-18","Est","Front","No",31,14.9,0,0.561,0.703,1.8,2.3,0.7,0.5,0.5,1.3,3,16000000
"Iman Shumpert","SG","CLE","2017-18","Est","Back","No",27,19.7,0.269,0.469,0.733,0.5,2.4,1.2,0.6,0.3,1.1,1.6,10337079
"Isaiah Canaan","PG","PHO","2017-18","West","Back","No",26,21.1,0.333,0.423,0.902,0.3,2,3.8,0.8,0.1,1.5,1.8,1113863
"Isaiah Hicks","PF","NYK","2017-18","Est","Front","No",23,13.3,0.222,0.492,0.667,0.6,1.7,0.9,0.1,0.2,0.9,2.5,77250
"Isaiah Taylor","PG","ATL","2017-18","Est","Back","No",23,17.4,0.25,0.461,0.702,0.3,1.1,3.1,0.5,0.1,1.3,1.7,1312611
"Isaiah Thomas","PG","LAL","2017-18","Est","Back","No",28,26.9,0.293,0.438,0.893,0.5,1.6,4.8,0.5,0.1,3,1.8,6261394
"Isaiah Whitehead","PG","BRK","2017-18","Est","Back","No",22,11.3,0.389,0.485,0.684,0.3,1.4,1.3,0.5,0.1,1.5,1.4,1312611
"Ivica Zubac","C","LAL","2017-18","West","Front","No",20,9.5,0,0.504,0.765,1,1.8,0.6,0.2,0.3,0.6,1.1,1312611
"Jabari Bird","SG","BOS","2017-18","Est","Back","No",23,8.8,0.429,0.632,0.462,0.5,1,0.6,0.2,0.1,0.6,0.5,77250
"Jabari Parker","PF","MIL","2017-18","Est","Front","No",22,24,0.383,0.514,0.741,1.4,3.5,1.9,0.8,0.3,1.5,1.6,6782392
"Jae Crowder","SF","UTA","2017-18","Est","Front","No",27,26.1,0.323,0.488,0.818,0.7,2.7,1.2,0.8,0.3,0.9,2.3,6796117
"Jahlil Okafor","C","BRK","2017-18","Est","Front","No",22,12.6,0.25,0.567,0.724,0.8,2.3,0.4,0.1,0.6,0.8,1.8,4995120
"JaKarr Sampson","SF","SAC","2017-18","West","Front","No",24,15.6,0.5,0.549,0.625,1,2.6,0.4,0.4,1,0.4,2.2,77250
"Jake Layman","SF","POR","2017-18","West","Front","No",23,4.6,0.2,0.37,0.667,0.1,0.3,0.3,0.2,0.1,0.1,0.4,1312611
"Jalen Jones","SF","DAL","2017-18","West","Front","No",24,11.3,0.385,0.381,0.632,0.8,1.6,0.3,0.3,0.1,0.4,1.4,77250
"Jamal Crawford","SG","MIN","2017-18","West","Back","No",37,20.7,0.331,0.477,0.903,0.3,1,2.3,0.5,0.1,1.2,1.1,15270762
